timestamp,thumb,index,middle,ring,pinky
7715811,0,1,0,0,0
7720815,0,0,1,0,0
7725819,0,0,0,1,0
7730822,0,0,0,0,1
7735826,1,1,0,0,0
7740831,0,1,1,0,0
7745836,0,0,1,1,0
7750841,0,0,0,1,1
7755846,1,0,0,0,1
7760851,1,0,1,0,0
7765856,0,1,0,0,1
7770861,1,1,1,1,1
7775866,0,0,0,0,0
7780871,1,0,0,0,0
7785876,0,1,0,0,0
7790880,0,0,1,0,0
7795884,0,0,0,1,0
7800888,0,0,0,0,1
7805893,1,1,0,0,0
7810897,0,1,1,0,0
7815901,0,0,1,1,0
7820905,0,0,0,1,1
7825908,1,0,0,0,1
7830912,1,0,1,0,0
7835915,0,1,0,0,1
7840919,1,1,1,1,1
7845923,0,0,0,0,0
7850927,1,0,0,0,0
7855930,0,1,0,0,0
7860934,0,0,1,0,0
7865937,0,0,0,1,0
7870940,0,0,0,0,1
7875944,1,1,0,0,0
7880948,0,1,1,0,0
7885951,0,0,1,1,0
7890956,0,0,0,1,1
